"date_analysis","proj","model1","model2","model3"
2022-07-06,2,"gbm","rf","xgb"
2022-07-06,3,"gbm","rf","svr"
2022-07-06,4,"svr","arima","garch"
2022-07-06,5,"svr","garch","arima"
2022-07-06,6,"svr","arima","lm"
2022-07-06,7,"svr","garch","lm"
2022-07-06,8,"xgb","svr","lm"
2022-07-06,9,"xgb","svr","lm"
2022-07-06,10,"svr","garch","arima"
2022-07-06,11,"garch","gru","arima"
2022-07-06,12,"arima","garch","lm"
2022-07-06,13,"gam","arima","lm"
2022-07-06,14,"gam","lm","gpr"
2022-07-07,0,"xgb","svr","gru"
2022-07-07,1,"gru","rf","gbm"
2022-07-07,2,"gbm","rf","xgb"
2022-07-07,3,"gbm","rf","svr"
2022-07-07,4,"svr","arima","garch"
2022-07-07,5,"svr","garch","lm"
2022-07-07,6,"svr","lm","arima"
2022-07-07,7,"svr","garch","lm"
2022-07-07,8,"xgb","svr","lm"
2022-07-07,9,"svr","xgb","garch"
2022-07-07,10,"garch","svr","arima"
2022-07-07,11,"garch","arima","gam"
2022-07-07,12,"garch","arima","lm"
2022-07-07,13,"gam","lm","arima"
2022-07-07,14,"gam","lm","gpr"
2022-07-08,0,"xgb","svr","gbm"
2022-07-08,1,"gru","gbm","rf"
2022-07-08,2,"gbm","rf","xgb"
2022-07-08,3,"gbm","rf","svr"
2022-07-08,4,"svr","arima","garch"
2022-07-08,5,"svr","garch","arima"
2022-07-08,6,"svr","lm","arima"
2022-07-08,7,"svr","garch","lm"
2022-07-08,8,"svr","xgb","lm"
2022-07-08,9,"svr","garch","gam"
2022-07-08,10,"svr","garch","arima"
2022-07-08,11,"garch","arima","svr"
2022-07-08,12,"garch","arima","lm"
2022-07-08,13,"gam","lm","arima"
2022-07-08,14,"gam","lm","gpr"
2022-07-09,0,"svr","xgb","gpr"
2022-07-09,1,"gru","gbm","rf"
2022-07-09,2,"xgb","gbm","rf"
2022-07-09,3,"gbm","rf","xgb"
2022-07-09,4,"garch","arima","svr"
2022-07-09,5,"svr","garch","arima"
2022-07-09,6,"svr","lm","arima"
2022-07-09,7,"svr","garch","lm"
2022-07-09,8,"svr","xgb","lm"
2022-07-09,9,"garch","svr","gam"
2022-07-09,10,"garch","arima","svr"
2022-07-09,11,"garch","arima","svr"
2022-07-09,12,"garch","arima","gam"
2022-07-09,13,"gam","lm","arima"
2022-07-09,14,"gam","lm","gpr"
2022-07-10,0,"svr","gru","gpr"
2022-07-10,1,"gru","xgb","gbm"
2022-07-10,2,"xgb","gru","svr"
2022-07-10,3,"xgb","gru","rf"
2022-07-10,4,"rf","gru","garch"
2022-07-10,5,"garch","arima","gpr"
2022-07-10,6,"svr","lm","garch"
2022-07-10,7,"svr","garch","lm"
2022-07-10,8,"svr","lm","xgb"
2022-07-10,9,"gam","garch","lm"
2022-07-10,10,"garch","arima","gam"
2022-07-10,11,"garch","arima","gru"
2022-07-10,12,"garch","arima","gam"
2022-07-10,13,"gam","lm","arima"
2022-07-10,14,"gam","lm","gpr"
2022-07-11,0,"gru","gam","gpr"
2022-07-11,1,"gru","xgb","gpr"
2022-07-11,2,"xgb","gru","gpr"
2022-07-11,3,"gru","xgb","gpr"
2022-07-11,4,"gru","xgb","gpr"
2022-07-11,5,"rf","gru","gpr"
2022-07-11,6,"gpr","garch","lm"
2022-07-11,7,"garch","gpr","lm"
2022-07-11,8,"gpr","lm","garch"
2022-07-11,9,"garch","gam","lm"
2022-07-11,10,"garch","arima","gam"
2022-07-11,11,"gru","garch","arima"
2022-07-11,12,"garch","arima","gam"
2022-07-11,13,"gam","lm","arima"
2022-07-11,14,"gam","lm","gpr"
2022-07-12,0,"gru","gpr","gam"
2022-07-12,1,"gru","gpr","gam"
2022-07-12,2,"gru","xgb","gpr"
2022-07-12,3,"gru","xgb","gpr"
2022-07-12,4,"gru","xgb","gpr"
2022-07-12,5,"gru","rf","gpr"
2022-07-12,6,"rf","gru","gpr"
2022-07-12,7,"gpr","arima","garch"
2022-07-12,8,"gpr","gru","lm"
2022-07-12,9,"gpr","gru","arima"
2022-07-12,10,"gam","arima","gpr"
2022-07-12,11,"arima","garch","gpr"
2022-07-12,12,"gam","lm","gpr"
2022-07-12,13,"lm","gam","gpr"
2022-07-12,14,"rf","lm","gpr"
2022-07-13,0,"gru","gam","lm"
2022-07-13,1,"gru","gpr","xgb"
2022-07-13,2,"gru","xgb","gpr"
2022-07-13,3,"gru","xgb","gpr"
2022-07-13,4,"gru","xgb","gpr"
2022-07-13,5,"gru","gpr","rf"
2022-07-13,6,"gru","rf","gpr"
2022-07-13,7,"rf","gru","gpr"
2022-07-13,8,"rf","gpr","garch"
2022-07-13,9,"gpr","gru","arima"
2022-07-13,10,"gpr","arima","lm"
2022-07-13,11,"rf","arima","garch"
2022-07-13,12,"lm","gam","gpr"
2022-07-13,13,"gam","lm","rf"
2022-07-13,14,"rf","gbm","lm"
2022-07-14,0,"garch","gam","arima"
2022-07-14,1,"gam","gru","arima"
2022-07-14,2,"gru","gpr","arima"
2022-07-14,3,"gru","xgb","gpr"
2022-07-14,4,"gru","xgb","gpr"
2022-07-14,5,"gru","gpr","garch"
2022-07-14,6,"gru","gpr","lm"
2022-07-14,7,"gru","rf","gpr"
2022-07-14,8,"rf","gru","gpr"
2022-07-14,9,"rf","gpr","garch"
2022-07-14,10,"gpr","arima","lm"
2022-07-14,11,"gpr","arima","garch"
2022-07-14,12,"lm","gpr","gam"
2022-07-14,13,"lm","gpr","gam"
2022-07-14,14,"gpr","gam","rf"
2022-07-15,0,"garch","arima","lm"
2022-07-15,1,"gru","gam","garch"
2022-07-15,2,"gpr","lm","arima"
2022-07-15,3,"gru","gpr","arima"
2022-07-15,4,"gru","xgb","gpr"
2022-07-15,5,"gru","gpr","garch"
2022-07-15,6,"gru","gpr","lm"
2022-07-15,7,"gru","gpr","rf"
2022-07-15,8,"gru","rf","gpr"
2022-07-15,9,"rf","gru","gbm"
2022-07-15,10,"gpr","garch","arima"
2022-07-15,11,"gpr","arima","garch"
2022-07-15,12,"gpr","lm","garch"
2022-07-15,13,"lm","gpr","gam"
2022-07-15,14,"gpr","gam","lm"
2022-07-16,0,"garch","arima","lm"
2022-07-16,1,"gru","garch","gam"
2022-07-16,2,"gam","garch","gru"
2022-07-16,3,"gam","arima","gpr"
2022-07-16,4,"gru","xgb","gpr"
2022-07-16,5,"gru","gpr","garch"
2022-07-16,6,"gru","gpr","lm"
2022-07-16,7,"gru","gpr","lm"
2022-07-16,8,"gru","rf","gpr"
2022-07-16,9,"gru","rf","gbm"
2022-07-16,10,"gru","rf","gpr"
2022-07-16,11,"gpr","garch","arima"
2022-07-16,12,"gpr","lm","garch"
2022-07-16,13,"gpr","lm","gam"
2022-07-16,14,"gpr","gam","lm"
2022-07-17,0,"garch","arima","lm"
2022-07-17,1,"gru","garch","gam"
2022-07-17,2,"garch","gam","lm"
2022-07-17,3,"gam","arima","garch"
2022-07-17,4,"gpr","lm","gam"
2022-07-17,5,"gru","gpr","lm"
2022-07-17,6,"gru","gpr","lm"
2022-07-17,7,"gru","gpr","lm"
2022-07-17,8,"gru","gpr","rf"
2022-07-17,9,"gru","rf","gpr"
2022-07-17,10,"gru","rf","gpr"
2022-07-17,11,"gru","rf","gpr"
2022-07-17,12,"gpr","garch","lm"
2022-07-17,13,"gpr","lm","arima"
2022-07-17,14,"gpr","lm","gam"
2022-07-18,0,"garch","lm","arima"
2022-07-18,1,"gru","garch","lm"
2022-07-18,2,"garch","lm","arima"
2022-07-18,3,"gam","garch","gru"
2022-07-18,4,"gam","arima","garch"
2022-07-18,5,"gpr","gru","lm"
2022-07-18,6,"gru","xgb","gpr"
2022-07-18,7,"gru","gpr","xgb"
2022-07-18,8,"gru","gpr","lm"
2022-07-18,9,"gru","gpr","rf"
2022-07-18,10,"gru","rf","gpr"
2022-07-18,11,"gru","rf","gpr"
2022-07-18,12,"gru","rf","gpr"
2022-07-18,13,"gpr","lm","garch"
2022-07-18,14,"gpr","lm","gam"
2022-07-19,0,"lm","arima","garch"
2022-07-19,1,"gru","gpr","garch"
2022-07-19,2,"gpr","gru","lm"
2022-07-19,3,"gru","garch","arima"
2022-07-19,4,"arima","garch","gpr"
2022-07-19,5,"garch","arima","gpr"
2022-07-19,6,"gpr","gru","lm"
2022-07-19,7,"gru","xgb","gpr"
2022-07-19,8,"gru","xgb","gpr"
2022-07-19,9,"gru","gpr","gbm"
2022-07-19,10,"gru","gpr","rf"
2022-07-19,11,"gru","gpr","rf"
2022-07-19,12,"gru","gpr","rf"
2022-07-19,13,"gpr","rf","gbm"
2022-07-19,14,"gpr","lm","garch"
2022-07-20,0,"garch","lm","arima"
2022-07-20,1,"gru","gpr","garch"
2022-07-20,2,"gru","gpr","lm"
2022-07-20,3,"gru","gpr","garch"
