"date","true_rt","later_0_day","later_1_day","later_2_day","later_3_day","later_4_day","later_5_day","later_6_day","later_7_day","later_8_day","later_9_day","later_10_day","later_11_day","later_12_day","later_13_day","later_14_day"
55,1.13134872041679,1.08865407197363,1.10050964582872,1.10473496218424,1.11168531596333,1.11885230143957,1.12690419537,1.12743947864911,1.12992134519525,1.13127422452319,1.13165991324761,1.13133919999466,1.13000054065429,1.13159003007528,1.13079204800184,1.131607529068
56,1.12882751087118,1.07699629287935,1.08691912430545,1.09737818739808,1.10289158972923,1.10873793022109,1.11681704220098,1.12396389639584,1.12515564178164,1.12640173716226,1.12878593560193,1.12868648108471,1.12809332879948,1.12907306478147,1.12835546594422,1.1296439610434
57,1.12617488987303,1.0659175059694,1.07442523221971,1.08286989583119,1.09389252840799,1.09988163883029,1.10505075239669,1.11324428108154,1.12165365335846,1.12124005508108,1.12393987043353,1.1259350223975,1.12498389081643,1.12565182041811,1.12592935167585,1.12515379019198
58,1.1233244699148,1.05410286105456,1.06297951109431,1.07164945920877,1.08096063321582,1.0916812905985,1.09670645453042,1.10403999778537,1.11045807184592,1.11827290572505,1.11975078472231,1.12147942927229,1.1236576628656,1.12353697287263,1.12352788166739,1.12350098788469
59,1.12046101044488,1.04310773280759,1.05109371882027,1.0604725152374,1.06787598031274,1.07868204312329,1.08977325387311,1.09398684170149,1.10061838266248,1.10685773797269,1.11619121387313,1.11783271860208,1.11812620374785,1.12146105508866,1.12030346921511,1.12116301428944
60,1.1181637968664,1.03577509349791,1.04126818678435,1.04929719417735,1.05793856241984,1.06565418416887,1.07593043930502,1.08743281197043,1.09183764298352,1.09817256918434,1.10534404297028,1.11258435223536,1.11455368409292,1.1164424152086,1.11730845331834,1.1178122145218
61,1.11611589976845,NA,1.03264703114706,1.03806697727504,1.04656267391017,1.05527577306433,1.06345916610665,1.07299893740411,1.08596131773886,1.08916560447416,1.09643126765832,1.10209631105212,1.11018760786199,1.11203167705891,1.11427176791278,1.11513292991074
62,1.11307762135542,NA,NA,1.03010338359358,1.03622998965767,1.04502839784457,1.05257543055524,1.06115354499438,1.07079168915708,1.08145279491297,1.08708433032033,1.09236562572792,1.10070512518309,1.10919913431271,1.11013769162163,1.11143470565325
63,1.11049842238626,NA,NA,NA,1.02757257248277,1.03523891295046,1.04147660493482,1.05003370405891,1.05909205126246,1.06784501856072,1.07950883475926,1.08487861060603,1.09087270673516,1.09836293107413,1.1054185922004,1.10709264755909
64,1.10766228622273,NA,NA,NA,NA,1.0256600829475,1.03221420899667,1.03900021032311,1.04894738839249,1.057390994362,1.06675463049854,1.07745094762907,1.08239734733541,1.08852554719464,1.09523083669977,1.10343848576792
65,1.10592520272297,NA,NA,NA,NA,NA,1.02338821204829,1.03077337114744,1.03773183461486,1.04757582520143,1.05487248034693,1.06439164997993,1.07597787028664,1.0816991220849,1.0862806811109,1.09428102462391
66,1.10384846698424,NA,NA,NA,NA,NA,NA,1.02256972578233,1.02807179860965,1.03593194531912,1.045251990458,1.05380691736684,1.06370298796392,1.07343170380387,1.07868073820195,1.08499200563183
67,1.10228095048009,NA,NA,NA,NA,NA,NA,NA,1.02101643623235,1.02671297545302,1.03500236213135,1.04353574480878,1.05150366106783,1.06027239903641,1.07152043386797,1.07705634102466
68,1.10063508956544,NA,NA,NA,NA,NA,NA,NA,NA,1.01928737905187,1.02464048685544,1.03302796307156,1.04201171844493,1.04922493230502,1.05901529045569,1.06963179235094
69,1.09973273623585,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.01787361207335,1.02330274290244,1.03125391448465,1.04042982038564,1.04904180088005,1.05767671749239
