"mytestdate","proj","var","coef","modelname"
2022-05-29,13,"scaled_case_lag5",0.0727008251883762,"lasso"
2022-05-29,13,"scaled_case_lag6",0.000201561432158501,"lasso"
2022-05-29,13,"ct_sm_7_lag7",-0.0377661509979762,"lasso"
2022-05-29,14,"(Intercept)",0.254134032131454,"lasso"
2022-05-29,14,"scaled_case_lag1",0.619713170028603,"lasso"
2022-05-29,14,"scaled_case_lag2",0.182429633477484,"lasso"
2022-05-29,14,"scaled_case_lag3",0.0323998162162315,"lasso"
2022-05-29,14,"scaled_case_lag4",0.023906804357617,"lasso"
2022-05-29,14,"scaled_case_lag5",0.0784467482194649,"lasso"
2022-05-29,14,"scaled_case_lag6",0.00168863479178879,"lasso"
2022-05-29,14,"ct_sm_7_lag6",-0.0186178328445904,"lasso"
2022-05-30,0,"(Intercept)",0.573030703193071,"lasso"
2022-05-30,0,"scaled_case_lag1",0.78729367727958,"lasso"
2022-05-30,0,"scaled_case_lag2",0.120932206204922,"lasso"
2022-05-30,0,"ct_sm_7_lag6",-0.0633909484979551,"lasso"
2022-05-30,0,"temperature_lag4",-0.0225390575434475,"lasso"
2022-05-30,0,"temperature_lag6",-0.0227064666705895,"lasso"
2022-05-30,1,"(Intercept)",0.692311811968364,"lasso"
2022-05-30,1,"scaled_case_lag1",0.766985831565073,"lasso"
2022-05-30,1,"scaled_case_lag2",0.123553241131168,"lasso"
2022-05-30,1,"ct_sm_7_lag7",-0.100775039371044,"lasso"
2022-05-30,1,"temperature_lag3",-0.0222257038979224,"lasso"
2022-05-30,1,"temperature_lag5",-0.0265653778129683,"lasso"
2022-05-30,2,"(Intercept)",0.671589822839741,"lasso"
2022-05-30,2,"scaled_case_lag1",0.778987141049272,"lasso"
2022-05-30,2,"scaled_case_lag2",0.114044866606091,"lasso"
2022-05-30,2,"ct_sm_7_lag6",-0.0657320435073233,"lasso"
2022-05-30,2,"ct_sm_7_lag7",-0.0303553169997775,"lasso"
2022-05-30,2,"temperature_lag2",-0.0180543073043121,"lasso"
2022-05-30,2,"temperature_lag4",-0.0249099436559584,"lasso"
2022-05-30,3,"(Intercept)",0.619672823943985,"lasso"
2022-05-30,3,"scaled_case_lag1",0.724903583024649,"lasso"
2022-05-30,3,"scaled_case_lag2",0.147524355323595,"lasso"
2022-05-30,3,"scaled_case_lag3",0.0273596598772252,"lasso"
2022-05-30,3,"ct_sm_7_lag5",-0.0443563902443454,"lasso"
2022-05-30,3,"ct_sm_7_lag6",-0.0542847961327832,"lasso"
2022-05-30,3,"temperature_lag1",-0.0587374513697167,"lasso"
2022-05-30,3,"temperature_lag3",-0.0436464780250575,"lasso"
2022-05-30,4,"(Intercept)",0.795846300864786,"lasso"
2022-05-30,4,"scaled_case_lag1",0.810476085928586,"lasso"
2022-05-30,4,"scaled_case_lag2",0.0637776833820182,"lasso"
2022-05-30,4,"ct_sm_7_lag5",-0.0315605500610082,"lasso"
2022-05-30,4,"ct_sm_7_lag7",-0.0478025738960949,"lasso"
2022-05-30,5,"(Intercept)",0.338001342597157,"lasso"
2022-05-30,5,"scaled_case_lag1",0.799004080751738,"lasso"
2022-05-30,5,"scaled_case_lag2",0.138782013420767,"lasso"
2022-05-30,6,"(Intercept)",0.337992585399905,"lasso"
2022-05-30,6,"scaled_case_lag1",0.784449193609471,"lasso"
2022-05-30,6,"scaled_case_lag2",0.152830198294535,"lasso"
2022-05-30,7,"(Intercept)",0.339467935995313,"lasso"
2022-05-30,7,"scaled_case_lag1",0.781309474913225,"lasso"
2022-05-30,7,"scaled_case_lag2",0.135036390018588,"lasso"
2022-05-30,7,"scaled_case_lag3",0.000138982353317701,"lasso"
2022-05-30,7,"scaled_case_lag4",0.0195863800938213,"lasso"
2022-05-30,8,"(Intercept)",0.338147173804725,"lasso"
2022-05-30,8,"scaled_case_lag1",0.76212724764675,"lasso"
2022-05-30,8,"scaled_case_lag2",0.12490063188657,"lasso"
2022-05-30,8,"scaled_case_lag4",0.047826978898704,"lasso"
2022-05-30,9,"(Intercept)",0.18998557283711,"lasso"
2022-05-30,9,"scaled_case_lag1",0.734205333958832,"lasso"
2022-05-30,9,"scaled_case_lag2",0.108263003069807,"lasso"
2022-05-30,9,"scaled_case_lag5",0.109610423441701,"lasso"
2022-05-30,10,"(Intercept)",0.355031714039607,"lasso"
2022-05-30,10,"scaled_case_lag1",0.662278790576137,"lasso"
2022-05-30,10,"scaled_case_lag2",0.143117968728169,"lasso"
2022-05-30,10,"scaled_case_lag5",0.0818165127281738,"lasso"
2022-05-30,10,"scaled_case_lag6",0.0378477511987057,"lasso"
2022-05-30,11,"(Intercept)",0.364913885058952,"lasso"
2022-05-30,11,"scaled_case_lag1",0.62275292648924,"lasso"
2022-05-30,11,"scaled_case_lag2",0.140674797231798,"lasso"
2022-05-30,11,"scaled_case_lag3",0.0218233240806382,"lasso"
2022-05-30,11,"scaled_case_lag5",0.124997872393377,"lasso"
2022-05-30,11,"scaled_case_lag6",0.0113711609035839,"lasso"
2022-05-30,12,"(Intercept)",0.36693248061176,"lasso"
2022-05-30,12,"scaled_case_lag1",0.623017958058568,"lasso"
2022-05-30,12,"scaled_case_lag2",0.145389390371359,"lasso"
2022-05-30,12,"scaled_case_lag3",0.0234669568735522,"lasso"
2022-05-30,12,"scaled_case_lag5",0.118130532117923,"lasso"
2022-05-30,12,"scaled_case_lag6",0.0112264039524832,"lasso"
2022-05-30,13,"(Intercept)",0.412800083651067,"lasso"
2022-05-30,13,"scaled_case_lag1",0.613088857593077,"lasso"
2022-05-30,13,"scaled_case_lag2",0.148101543279625,"lasso"
2022-05-30,13,"scaled_case_lag3",0.0252043531462504,"lasso"
2022-05-30,13,"scaled_case_lag5",0.115347069856416,"lasso"
2022-05-30,13,"scaled_case_lag6",0.0117082575359213,"lasso"
2022-05-30,13,"ct_sm_7_lag7",-0.0137521202556024,"lasso"
2022-05-30,14,"(Intercept)",0.368758022221068,"lasso"
2022-05-30,14,"scaled_case_lag1",0.627356707009978,"lasso"
2022-05-30,14,"scaled_case_lag2",0.149154032184031,"lasso"
2022-05-30,14,"scaled_case_lag3",0.0359603809633349,"lasso"
2022-05-30,14,"scaled_case_lag5",0.108559267215498,"lasso"
2022-05-30,14,"scaled_case_lag6",0.000143902154040128,"lasso"
2022-05-30,14,"ct_sm_7_lag6",-0.000382722379758722,"lasso"
2022-05-31,0,"(Intercept)",0.646195458629673,"lasso"
