"mytestdate","var","coef","modelname","proj"
"19142","carbon_monoxide_lag2","0.0109285311867111","svr","2"
"19142","StringencyIndex_WeightedAverage_lag1","0.0606213982042538","svr","2"
"19142","scaled_case_lag1","0.84391405222911","svr","2"
"19142","ct_sm_7_lag7","-0.232682334965625","svr","2"
"19142","(Intercept)","1.18485513768855","svr","3"
"19142","temperature_lag6","-0.0681276978918335","svr","3"
"19142","carbon_monoxide_lag1","0.0134004764054313","svr","3"
"19142","StringencyIndex_WeightedAverage_lag1","0.0507634956969463","svr","3"
"19142","scaled_case_lag1","0.813293401670192","svr","3"
"19142","ct_sm_7_lag7","-0.296273594094302","svr","3"
"19142","(Intercept)","1.07352105445975","svr","4"
"19142","temperature_lag5","-0.0709182181544981","svr","4"
"19142","carbon_monoxide_lag2","0.00857051865880376","svr","4"
"19142","StringencyIndex_WeightedAverage_lag1","0.0458950343540496","svr","4"
"19142","scaled_case_lag1","0.829791489587298","svr","4"
"19142","ct_sm_7_lag7","-0.262952043839037","svr","4"
"19142","(Intercept)","0.866394595878254","svr","5"
"19142","temperature_lag4","-0.0634518749272648","svr","5"
"19142","carbon_monoxide_lag1","-0.00129859180516101","svr","5"
"19142","StringencyIndex_WeightedAverage_lag1","0.0350140978560538","svr","5"
"19142","scaled_case_lag1","0.858541922790534","svr","5"
"19142","ct_sm_7_lag7","-0.214152467832394","svr","5"
"19142","(Intercept)","0.764920761032433","svr","6"
"19142","temperature_lag3","-0.0574820776240104","svr","6"
"19142","carbon_monoxide_lag1","-0.00520298936982938","svr","6"
"19142","GovernmentResponseIndex_WeightedAverage_lag1","0.0400246104655588","svr","6"
"19142","scaled_case_lag1","0.873269506844861","svr","6"
"19142","ct_sm_7_lag6","-0.193443867884523","svr","6"
"19142","(Intercept)","0.819571697929669","svr","7"
"19142","temperature_lag2","-0.0551281663025425","svr","7"
"19142","carbon_monoxide_lag1","-0.0020812427476844","svr","7"
"19142","GovernmentResponseIndex_WeightedAverage_lag1","0.0344554189592099","svr","7"
"19142","scaled_case_lag1","0.865657565804935","svr","7"
"19142","ct_sm_7_lag5","-0.21170187042004","svr","7"
"19142","(Intercept)","0.584870444298427","svr","8"
"19142","temperature_lag7","-0.0199517869416553","svr","8"
"19142","carbon_monoxide_lag1","0.00350861925648385","svr","8"
"19142","GovernmentResponseIndex_WeightedAverage_lag1","0.0137522737514915","svr","8"
"19142","scaled_case_lag1","0.899639549089021","svr","8"
"19142","ct_sm_7_lag4","-0.159626139179354","svr","8"
"19142","(Intercept)","0.749079166483749","svr","9"
"19142","temperature_lag7","-0.0286871584720501","svr","9"
"19142","carbon_monoxide_lag2","0.0168666263559133","svr","9"
"19142","GovernmentResponseIndex_WeightedAverage_lag1","-0.0181788034459724","svr","9"
"19142","scaled_case_lag1","0.872360441872059","svr","9"
"19142","ct_sm_7_lag7","-0.213948353493126","svr","9"
"19142","(Intercept)","0.92109190796103","svr","10"
"19142","temperature_lag6","-0.0481217944947132","svr","10"
"19142","carbon_monoxide_lag7","-0.0281032222454063","svr","10"
"19142","GovernmentResponseIndex_WeightedAverage_lag1","-0.0122839246344189","svr","10"
"19142","scaled_case_lag1","0.84318016873672","svr","10"
"19142","ct_sm_7_lag7","-0.267028788968937","svr","10"
"19142","(Intercept)","1.06815067049094","svr","11"
"19142","temperature_lag5","-0.0605585280999332","svr","11"
"19142","carbon_monoxide_lag6","-0.0290735607523571","svr","11"
"19142","GovernmentResponseIndex_WeightedAverage_lag1","-0.0295648976938483","svr","11"
"19142","scaled_case_lag1","0.819715259040922","svr","11"
"19142","ct_sm_7_lag7","-0.305449697619811","svr","11"
"19142","(Intercept)","1.1505170985368","svr","12"
"19142","temperature_lag4","-0.0671761740471584","svr","12"
"19142","carbon_monoxide_lag5","-0.0406775386063389","svr","12"
"19142","GovernmentResponseIndex_WeightedAverage_lag1","-0.0597176623230677","svr","12"
"19142","scaled_case_lag1","0.807964200461923","svr","12"
"19142","ct_sm_7_lag7","-0.344554551104141","svr","12"
"19142","(Intercept)","1.34953408405185","svr","13"
"19142","temperature_lag3","-0.0669773113792171","svr","13"
"19142","carbon_monoxide_lag4","-0.0333927218978298","svr","13"
"19142","GovernmentResponseIndex_WeightedAverage_lag1","-0.0740489183138169","svr","13"
"19142","scaled_case_lag1","0.773094853499575","svr","13"
"19142","ct_sm_7_lag7","-0.407864973294521","svr","13"
"19142","(Intercept)","1.15228687366114","svr","14"
"19142","temperature_lag2","-0.0720341166603895","svr","14"
"19142","carbon_monoxide_lag3","-0.0388237296558105","svr","14"
"19142","GovernmentResponseIndex_WeightedAverage_lag1","-0.049621723901671","svr","14"
"19142","scaled_case_lag1","0.804434962949927","svr","14"
"19142","ct_sm_7_lag6","-0.344830024962474","svr","14"
"19143","(Intercept)","0.955874484223937","svr","0"
"19143","temperature_lag7","-0.0662905864812537","svr","0"
"19143","carbon_monoxide_lag1","0.0252645691605926","svr","0"
"19143","StringencyIndex_WeightedAverage_lag1","0.0553493989604674","svr","0"
"19143","scaled_case_lag1","0.851819570058541","svr","0"
"19143","ct_sm_7_lag7","-0.201327297675704","svr","0"
"19143","(Intercept)","1.06858655319784","svr","1"
"19143","temperature_lag7","-0.0783144757545082","svr","1"
"19143","carbon_monoxide_lag1","-0.00117333442917666","svr","1"
"19143","StringencyIndex_WeightedAverage_lag1","0.0689473272806513","svr","1"
"19143","scaled_case_lag1","0.834542153067472","svr","1"
"19143","ct_sm_7_lag7","-0.235274448191217","svr","1"
"19143","(Intercept)","1.06926251234858","svr","2"
"19143","temperature_lag7","-0.0647020587289662","svr","2"
"19143","carbon_monoxide_lag1","0.0166220136312886","svr","2"
"19143","StringencyIndex_WeightedAverage_lag1","0.0678679696426463","svr","2"
"19143","scaled_case_lag1","0.830054723743821","svr","2"
"19143","ct_sm_7_lag7","-0.252691249914304","svr","2"
"19143","(Intercept)","1.05473209284823","svr","3"
"19143","temperature_lag7","-0.0656573352779684","svr","3"
"19143","carbon_monoxide_lag1","0.0195681360483951","svr","3"
"19143","StringencyIndex_WeightedAverage_lag1","0.0310828980488331","svr","3"
"19143","scaled_case_lag1","0.832983993820893","svr","3"
"19143","ct_sm_7_lag7","-0.271603797401819","svr","3"
"19143","(Intercept)","1.03703104417991","svr","4"
"19143","temperature_lag6","-0.0526043754184597","svr","4"
"19143","carbon_monoxide_lag1","0.0201801241800078","svr","4"
"19143","StringencyIndex_WeightedAverage_lag1","0.0406674171445005","svr","4"
"19143","scaled_case_lag1","0.833769337722709","svr","4"
"19143","ct_sm_7_lag7","-0.248663709617185","svr","4"
"19143","(Intercept)","1.01613971120167","svr","5"
"19143","temperature_lag5","-0.0460540067100745","svr","5"
"19143","carbon_monoxide_lag1","-0.000897203264046242","svr","5"
"19143","StringencyIndex_WeightedAverage_lag1","0.0136033247511482","svr","5"
"19143","scaled_case_lag1","0.837377985925301","svr","5"
"19143","ct_sm_7_lag7","-0.268079374047028","svr","5"
"19143","(Intercept)","0.848615755822833","svr","6"
"19143","temperature_lag4","-0.0372746133131208","svr","6"
"19143","carbon_monoxide_lag1","-0.0208514493002613","svr","6"
"19143","StringencyIndex_WeightedAverage_lag1","0.0143388135920299","svr","6"
"19143","scaled_case_lag1","0.86193283850557","svr","6"
"19143","ct_sm_7_lag6","-0.245603634364026","svr","6"
"19143","(Intercept)","0.985280942385655","svr","7"
"19143","temperature_lag3","-0.0343283628171589","svr","7"
"19143","carbon_monoxide_lag1","-0.00442869933215795","svr","7"
"19143","GovernmentResponseIndex_WeightedAverage_lag1","-0.0123781873213369","svr","7"
"19143","scaled_case_lag1","0.838701424355344","svr","7"
"19143","ct_sm_7_lag7","-0.292267438248533","svr","7"
"19143","(Intercept)","0.826110949747934","svr","8"
"19143","temperature_lag2","-0.0355061501739096","svr","8"
"19143","carbon_monoxide_lag1","0.00551217047409156","svr","8"
"19143","GovernmentResponseIndex_WeightedAverage_lag1","0.00211892475451325","svr","8"
"19143","scaled_case_lag1","0.860916089664915","svr","8"
"19143","ct_sm_7_lag7","-0.231749652648961","svr","8"
"19143","(Intercept)","1.04541472962261","svr","9"
"19143","temperature_lag7","-0.0374701138454044","svr","9"
"19143","carbon_monoxide_lag2","0.0264434172562336","svr","9"
"19143","GovernmentResponseIndex_WeightedAverage_lag1","-0.0350009780063627","svr","9"
"19143","scaled_case_lag1","0.827437591265948","svr","9"
"19143","ct_sm_7_lag7","-0.28793596910793","svr","9"
"19143","(Intercept)","0.899737040999357","svr","10"
"19143","temperature_lag7","-0.0143561357141069","svr","10"
"19143","carbon_monoxide_lag1","0.0253667186642277","svr","10"
"19143","GovernmentResponseIndex_WeightedAverage_lag1","-0.0340819041079816","svr","10"
"19143","scaled_case_lag1","0.846956935303151","svr","10"
"19143","ct_sm_7_lag7","-0.273903657984907","svr","10"
"19143","(Intercept)","1.06612971750813","svr","11"
"19143","temperature_lag6","-0.0232269567076853","svr","11"
"19143","carbon_monoxide_lag5","-0.0124331128267117","svr","11"
"19143","GovernmentResponseIndex_WeightedAverage_lag1","-0.0568769651464742","svr","11"
