"var","coef","CI_lwr","CI_upr","modelname"
"mu","-0.603815351676677","-0.695289415931734","-0.512341287421621","garch"
"ma1","-0.536357378311631","-0.804043898490102","-0.268670858133159","garch"
"temperature_lag7","0.0307334541204675","-0.00124482121535247","0.0627117294562875","garch"
"carbon_monoxide_lag1","-0.0246697800801952","-0.0513116957488804","0.00197213558849001","garch"
"GovernmentResponseIndex_WeightedAverage_lag1","-0.00795507928790863","-0.0440440676576512","0.028133909081834","garch"
"scaled_case_lag1","1.0777849436913","1.06414814962504","1.09142173775757","garch"
"ct_sm_7_lag5","0.135446808461005","0.0919703589233651","0.178923257998646","garch"
"omega","0.00627470739721069","-0.0330463658858006","0.0455957806802219","garch"
"beta1","0.829944355594018","-0.233254736932937","1.89314344812097","garch"
"mu","-0.199311462364246","NaN","NaN","garch"
"ma1","-0.347233551040059","-0.599002151572626","-0.0954649505074928","garch"
"temperature_lag7","-0.00968934834301394","-0.0517097126240795","0.0323310159380516","garch"
"carbon_monoxide_lag7","-0.00769791419498739","-0.0425429071740977","0.0271470787841229","garch"
"GovernmentResponseIndex_WeightedAverage_lag1","0.00773162839295769","-0.0427804424001224","0.0582436991860378","garch"
"scaled_case_lag1","1.01665725639385","NaN","NaN","garch"
"ct_sm_7_lag4","0.0542081002485268","0.0179591526650648","0.0904570478319888","garch"
"omega","0.013381768314278","-0.06145353833237","0.0882170749609261","garch"
"beta1","0.630623168147726","-1.42663147086259","2.68787780715804","garch"
"mu","-0.0928191453031048","-0.129295596613386","-0.0563426939928232","garch"
"ma1","-0.406096616366777","-0.638261614752636","-0.173931617980918","garch"
"temperature_lag7","-0.0112087686517185","-0.0471268737484394","0.0247093364450024","garch"
"carbon_monoxide_lag6","-0.012349374133193","-0.0413294513899302","0.0166307031235443","garch"
"GovernmentResponseIndex_WeightedAverage_lag1","0.0110511488206012","-0.0326157600843273","0.0547180577255298","garch"
"scaled_case_lag1","0.999932155245861","0.994589034705247","1.00527527578648","garch"
"ct_sm_7_lag3","0.0284685440249373","-0.0135694855922287","0.0705065736421033","garch"
"omega","0.000198719647319596","-0.00149888464539052","0.00189632394002972","garch"
"beta1","0.99899999969912","0.953989606051554","1.04401039334669","garch"
"mu","-0.00546959954691006","-0.0482465802783162","0.0373073811844961","garch"
"ma1","-0.364235415815259","-0.589789305605723","-0.138681526024795","garch"
"temperature_lag6","-0.0159004709842493","-0.0536402184117516","0.021839276443253","garch"
"carbon_monoxide_lag5","-0.00954697386507434","-0.0399422800452669","0.0208483323151183","garch"
"GovernmentResponseIndex_WeightedAverage_lag1","0.00989150937683694","-0.0367772726253628","0.0565602913790367","garch"
"scaled_case_lag1","0.98668491607452","0.980445090320129","0.992924741828911","garch"
"ct_sm_7_lag2","0.00698338893602265","-0.0380974275040065","0.0520642053760518","garch"
"omega","0.000207518621468268","-0.00169963125280235","0.00211466849573889","garch"
"beta1","0.99899999992475","0.949054001913436","1.04894599793606","garch"
"mu","0.003242344269849","-0.0427635664222178","0.0492482549619158","garch"
"ma1","-0.352239790791704","-0.579586212622861","-0.124893368960547","garch"
"temperature_lag5","-0.0162281747223893","-0.0547375006377469","0.0222811511929682","garch"
"carbon_monoxide_lag4","-0.00897827250080005","-0.0402652071034001","0.0223086621018","garch"
"GovernmentResponseIndex_WeightedAverage_lag1","0.00930508188411925","-0.0386559556812445","0.057266119449483","garch"
"scaled_case_lag1","0.985368156895181","0.978662593953984","0.992073719836378","garch"
"ct_sm_7_lag1","0.00428667718428929","-0.042028515357417","0.0506018697259956","garch"
"omega","0.000208089815430455","-0.00171787813411606","0.00213405776497697","garch"
"beta1","0.998999999186121","0.949077005193248","1.04892299317899","garch"
"mu","0.432080148571667","0.382172975915646","0.481987321227688","garch"
"ma1","-0.303816831750837","-0.520070540060546","-0.0875631234411285","garch"
"temperature_lag4","-0.0340057866966152","-0.0716812359881787","0.0036696625949482","garch"
"carbon_monoxide_lag3","-0.0137806668866474","-0.0459360454129464","0.0183747116396516","garch"
"GovernmentResponseIndex_WeightedAverage_lag1","-0.0269877365646023","-0.0854385875650969","0.0314631144358922","garch"
"scaled_case_lag1","0.918653753795739","0.911074717406051","0.926232790185426","garch"
"ct_sm_7_lag7","-0.137877914827187","-0.188236886154026","-0.0875189435003478","garch"
"omega","0.000223434911578223","-0.0024199101812959","0.00286678000445234","garch"
"beta1","0.998999999651284","0.928936443857577","1.06906355544499","garch"
"mu","0.410536913761834","0.35857042727653","0.462503400247137","garch"
"ma1","-0.302873618458561","-0.520988002545072","-0.0847592343720489","garch"
"temperature_lag3","-0.0340994575053347","-0.0719575433755506","0.00375862836488117","garch"
"carbon_monoxide_lag2","-0.0138747022601472","-0.0463579793755661","0.0186085748552717","garch"
"GovernmentResponseIndex_WeightedAverage_lag1","-0.0228643041181014","-0.0810942758354831","0.0353656675992804","garch"
"scaled_case_lag1","0.922043989642469","0.914159567299063","0.929928411985876","garch"
"ct_sm_7_lag6","-0.129208513723142","-0.178403821503451","-0.0800132059428334","garch"
"omega","0.000224983776040259","-0.00243917170039075","0.00288913925247127","garch"
"beta1","0.998999999051884","0.929116517111464","1.0688834809923","garch"
"mu","0.326483287244662","0.273594406859695","0.379372167629628","garch"
"ma1","-0.311232321784744","-0.532762648114629","-0.089701995454859","garch"
"temperature_lag2","-0.0326689818129623","-0.0715099517410169","0.0061719881150923","garch"
"carbon_monoxide_lag1","-0.0147293916254216","-0.0474893308446347","0.0180305475937914","garch"
"GovernmentResponseIndex_WeightedAverage_lag1","-0.00812592050771391","-0.0657465680947396","0.0494947270793117","garch"
"scaled_case_lag1","0.934948751286436","0.926936759603924","0.942960742968949","garch"
"ct_sm_7_lag5","-0.100087005193892","-0.147505061217821","-0.0526689491699636","garch"
"omega","0.000225531792740943","-0.00239907476400003","0.00285013834948192","garch"
"beta1","0.998999998791446","0.931081117865983","1.06691887971691","garch"
"mu","0.475013279496128","NaN","NaN","garch"
"ma1","-0.176507145577998","-0.354545969983187","0.00153167882718988","garch"
"temperature_lag7","-0.0785488115000209","-0.128335606085342","-0.0287620169147002","garch"
"carbon_monoxide_lag1","0.0338253204506107","-0.00990008882932797","0.0775507297305493","garch"
"StringencyIndex_WeightedAverage_lag1","0.0209593001382261","NaN","NaN","garch"
"scaled_case_lag1","0.921917391396909","NaN","NaN","garch"
"ct_sm_7_lag7","-0.102218228660915","NaN","NaN","garch"
"omega","0.00318687443748337","-0.00165940084300066","0.0080331497179674","garch"
"beta1","0.930833130656492","0.829551213587876","1.03211504772511","garch"
"mu","0.590740336049483","NaN","NaN","garch"
"ma1","-0.119785151062672","-0.301273715642759","0.0617034135174141","garch"
"temperature_lag7","-0.0675833213783952","-0.127028532256142","-0.00813811050064892","garch"
"carbon_monoxide_lag1","0.0182976655799126","-0.0306841334043307","0.0672794645641559","garch"
"StringencyIndex_WeightedAverage_lag1","0.0258384803119717","-0.0231155512934933","0.0747925119174367","garch"
"scaled_case_lag1","0.904591739585761","NaN","NaN","garch"
"ct_sm_7_lag7","-0.148311002512966","NaN","NaN","garch"
"omega","0.00349302800293179","-0.00132474042493416","0.00831079643079773","garch"
"beta1","0.922819933996317","0.820747707113737","1.0248921608789","garch"
"mu","0.505628708576792","NaN","NaN","garch"
"ma1","-0.126290467962391","-0.314085936143645","0.061505000218863","garch"
"temperature_lag6","-0.0623663287044172","-0.12237418308717","-0.00235847432166399","garch"
"carbon_monoxide_lag4","0.00384605663915322","-0.0433110649676892","0.0510031782459956","garch"
"StringencyIndex_WeightedAverage_lag1","0.0145287188777173","-0.0424824760924467","0.0715399138478813","garch"
"scaled_case_lag1","0.916183872567111","NaN","NaN","garch"
"ct_sm_7_lag7","-0.135931209410881","-0.16417704100305","-0.107685377818713","garch"
"omega","0.00396688796444662","-0.00145231646930843","0.00938609239820166","garch"
"beta1","0.909826273321604","0.791515617014342","1.02813692962887","garch"
"mu","0.429127686131073","NaN","NaN","garch"
"ma1","-0.139797427151731","-0.331202506867267","0.0516076525638053","garch"
"temperature_lag5","-0.0590859461792074","-0.118698745171629","0.00052685281321431","garch"
"carbon_monoxide_lag3","0.00342698434630974","-0.043790058977537","0.0506440276701565","garch"
"StringencyIndex_WeightedAverage_lag1","0.00300803786355594","-0.0577943343180974","0.0638104100452092","garch"
"scaled_case_lag1","0.926822943054038","NaN","NaN","garch"
"ct_sm_7_lag7","-0.120118619076214","-0.169118557176007","-0.0711186809764209","garch"
"omega","0.00495278388686229","-0.00216522953596633","0.0120707973096909","garch"
"beta1","0.883649089681422","0.722311746669529","1.04498643269331","garch"
"mu","0.406424020195267","NaN","NaN","garch"
"ma1","-0.155815237153696","-0.344633291482833","0.0330028171754403","garch"
"temperature_lag4","-0.0568452538938153","-0.114887399898162","0.00119689211053104","garch"
"carbon_monoxide_lag2","0.00604044056938001","-0.0392751456218527","0.0513560267606128","garch"
"StringencyIndex_WeightedAverage_lag1","0.00556293369961518","-0.0552626505148732","0.0663885179141036","garch"
"scaled_case_lag1","0.92927342980516","NaN","NaN","garch"
"ct_sm_7_lag7","-0.109116354903714","-0.165004605002364","-0.0532281048050639","garch"
"omega","0.0111970307040892","-0.0206873458735473","0.0430814072817257","garch"
"beta1","0.721839273044926","-0.0511211200567172","1.49479966614657","garch"
"mu","0.165877929952341","-0.0637890651526284","0.39554492505731","garch"
"ma1","-0.217606641864751","-0.438595373776106","0.00338209004660314","garch"
"temperature_lag3","-0.0368445456171659","-0.0833559959404347","0.00966690470610278","garch"
"carbon_monoxide_lag1","0.0116691950856205","-0.0266224270954218","0.0499608172666628","garch"
"GovernmentResponseIndex_WeightedAverage_lag1","0.00620555542539785","-0.0526782203405662","0.0650893311913619","garch"
"scaled_case_lag1","0.963484820575842","0.929151998582143","0.99781764256954","garch"
"ct_sm_7_lag7","-0.0357022602763439","-0.117396551134684","0.0459920305819962","garch"
"omega","0.00649999288211781","-0.058436732299972","0.0714367180642076","garch"
