var,coef,proj,modelname
nitrogen_dioxide_lag7,0.01575011900295123,7,gbm
fine_suspended_particulates_lag5,0.018715592088369072,7,gbm
nitrogen_oxides_lag3,0.021896457325688803,7,gbm
sulphur_dioxide_lag3,0.014218630759966908,7,gbm
ozone_lag2,0.016579068659442933,7,gbm
GovernmentResponseIndex_WeightedAverage_lag1,0.24298075661500335,7,gbm
scaled_case_lag1,0.42895886677823963,7,gbm
temperature_lag7,0.14811975806986902,8,gbm
wind_speed_lag7,0.00883645356814962,8,gbm
humidity_lag2,0.014323773994991962,8,gbm
carbon_monoxide_lag1,0.036712557319606744,8,gbm
nitrogen_dioxide_lag6,0.012544215952912502,8,gbm
fine_suspended_particulates_lag4,0.02449816386752952,8,gbm
nitrogen_oxides_lag2,0.01385489469131607,8,gbm
sulphur_dioxide_lag2,0.015969320929307744,8,gbm
ozone_lag1,0.008700730214203221,8,gbm
GovernmentResponseIndex_WeightedAverage_lag1,0.23628593157593702,8,gbm
scaled_case_lag1,0.4801541998161766,8,gbm
temperature_lag7,0.1459374360455028,9,gbm
wind_speed_lag7,0.014167378544595263,9,gbm
humidity_lag1,0.01653496509902686,9,gbm
carbon_monoxide_lag7,0.033092107115120804,9,gbm
nitrogen_dioxide_lag5,0.016749794468332354,9,gbm
fine_suspended_particulates_lag3,0.033775873342173496,9,gbm
nitrogen_oxides_lag1,0.03944723895034556,9,gbm
sulphur_dioxide_lag1,0.01990556701127629,9,gbm
ozone_lag1,0.008462410360889912,9,gbm
GovernmentResponseIndex_WeightedAverage_lag1,0.22798824102796392,9,gbm
scaled_case_lag1,0.4439389880347727,9,gbm
temperature_lag6,0.1284571631206595,10,gbm
wind_speed_lag6,0.01685165491000539,10,gbm
humidity_lag7,0.012550541584582263,10,gbm
carbon_monoxide_lag6,0.03101689913173999,10,gbm
nitrogen_dioxide_lag4,0.017174984538130423,10,gbm
fine_suspended_particulates_lag2,0.031722973924178284,10,gbm
nitrogen_oxides_lag1,0.03742441988621637,10,gbm
sulphur_dioxide_lag1,0.016561328141099313,10,gbm
ozone_lag1,0.008112719946164842,10,gbm
GovernmentResponseIndex_WeightedAverage_lag1,0.20770931953741667,10,gbm
scaled_case_lag1,0.492417995279807,10,gbm
temperature_lag5,0.1665579383584498,11,gbm
wind_speed_lag7,0.008856718573175769,11,gbm
humidity_lag7,0.014011706736187346,11,gbm
carbon_monoxide_lag5,0.02337626916416691,11,gbm
nitrogen_dioxide_lag3,0.017959457149305812,11,gbm
nitrogen_oxides_lag7,0.02616329359213167,11,gbm
fine_suspended_particulates_lag1,0.029770485838822594,11,gbm
ozone_lag7,0.008613902001090355,11,gbm
sulphur_dioxide_lag1,0.015614839255993537,11,gbm
GovernmentResponseIndex_WeightedAverage_lag1,0.18350253996914273,11,gbm
scaled_case_lag1,0.5055728493615333,11,gbm
temperature_lag4,0.12558533116512163,12,gbm
wind_speed_lag7,0.02055719343641783,12,gbm
humidity_lag7,0.01947609931040309,12,gbm
carbon_monoxide_lag4,0.037479536352564645,12,gbm
nitrogen_dioxide_lag2,0.03562054031593909,12,gbm
nitrogen_oxides_lag7,0.016673172262789304,12,gbm
fine_suspended_particulates_lag1,0.030912407165091572,12,gbm
ozone_lag7,0.010256016571395212,12,gbm
sulphur_dioxide_lag1,0.014538364229270871,12,gbm
GovernmentResponseIndex_WeightedAverage_lag1,0.19023863570337077,12,gbm
scaled_case_lag1,0.4986627034876361,12,gbm
temperature_lag3,0.17660290243125326,13,gbm
humidity_lag7,0.01594686384412818,13,gbm
wind_speed_lag7,0.014496468290594259,13,gbm
carbon_monoxide_lag3,0.045819482501154966,13,gbm
nitrogen_dioxide_lag1,0.034209229483342866,13,gbm
nitrogen_oxides_lag6,0.02778325085967715,13,gbm
fine_suspended_particulates_lag1,0.02864058673667226,13,gbm
respirable_suspended_particulates_lag1,0.021122662919855477,13,gbm
ozone_lag7,0.010481428088444981,13,gbm
sulphur_dioxide_lag1,0.020553572926383722,13,gbm
GovernmentResponseIndex_WeightedAverage_lag1,0.16152711723715457,13,gbm
scaled_case_lag1,0.4428164346813382,13,gbm
temperature_lag2,0.10153981200471754,14,gbm
humidity_lag7,0.017441617789785473,14,gbm
wind_speed_lag6,0.01541745419472334,14,gbm
carbon_monoxide_lag2,0.038284640036695704,14,gbm
nitrogen_dioxide_lag1,0.033610740062693836,14,gbm
nitrogen_oxides_lag5,0.028131382814114314,14,gbm
fine_suspended_particulates_lag1,0.022512367988346865,14,gbm
respirable_suspended_particulates_lag1,0.021605805445735867,14,gbm
ozone_lag6,0.008238666751103203,14,gbm
sulphur_dioxide_lag6,0.019807148280120826,14,gbm
GovernmentResponseIndex_WeightedAverage_lag1,0.17007612368911637,14,gbm
scaled_case_lag1,0.5233342409428466,14,gbm
temperature_lag7,0.1075573232860223,0,gbm
humidity_lag1,0.013163915652003361,0,gbm
wind_speed_lag2,0.00997652749725361,0,gbm
carbon_monoxide_lag1,0.04188941325517846,0,gbm
fine_suspended_particulates_lag1,0.02095402493405996,0,gbm
nitrogen_dioxide_lag1,0.022603433936287037,0,gbm
nitrogen_oxides_lag5,0.03099800474250653,0,gbm
sulphur_dioxide_lag1,0.013421058852174114,0,gbm
ozone_lag7,0.012647800645866656,0,gbm
StringencyIndex_WeightedAverage_lag1,0.28435609213912283,0,gbm
scaled_case_lag1,0.44243240505952514,0,gbm
temperature_lag7,0.12218297854714655,1,gbm
humidity_lag1,0.018023622303673787,1,gbm
wind_speed_lag7,0.0075163282189937885,1,gbm
carbon_monoxide_lag1,0.031204862800041103,1,gbm
fine_suspended_particulates_lag1,0.023592903100537327,1,gbm
nitrogen_dioxide_lag1,0.019572771383177617,1,gbm
nitrogen_oxides_lag4,0.02951743188650992,1,gbm
sulphur_dioxide_lag1,0.016402306411720538,1,gbm
ozone_lag6,0.015256913278433613,1,gbm
StringencyIndex_WeightedAverage_lag1,0.2699894087244823,1,gbm
scaled_case_lag1,0.44674047334528344,1,gbm
temperature_lag7,0.12298490350329119,2,gbm
humidity_lag7,0.010353638807947619,2,gbm
wind_speed_lag7,0.0068407464889922815,2,gbm
carbon_monoxide_lag2,0.0481071500588423,2,gbm
nitrogen_dioxide_lag2,0.013232475447659098,2,gbm
fine_suspended_particulates_lag1,0.019177044278892875,2,gbm
nitrogen_oxides_lag3,0.04273650760954632,2,gbm
sulphur_dioxide_lag1,0.018754386260272964,2,gbm
ozone_lag5,0.014329749684678423,2,gbm
StringencyIndex_WeightedAverage_lag1,0.25499965971032923,2,gbm
scaled_case_lag1,0.4484837381495478,2,gbm
temperature_lag6,0.12302083327797571,3,gbm
humidity_lag7,0.01962385764443748,3,gbm
wind_speed_lag6,0.010797849614968425,3,gbm
carbon_monoxide_lag1,0.029296523633764095,3,gbm
nitrogen_dioxide_lag1,0.019321058216683264,3,gbm
fine_suspended_particulates_lag1,0.012824325479550886,3,gbm
nitrogen_oxides_lag2,0.03915112927892765,3,gbm
sulphur_dioxide_lag1,0.016229640063742633,3,gbm
ozone_lag4,0.014607525028310291,3,gbm
StringencyIndex_WeightedAverage_lag1,0.2366283583911899,3,gbm
scaled_case_lag1,0.4784988993704497,3,gbm
temperature_lag5,0.11116881801925274,4,gbm
humidity_lag6,0.009977607486397012,4,gbm
wind_speed_lag5,0.006499744148755563,4,gbm
carbon_monoxide_lag2,0.03437331814914659,4,gbm
nitrogen_dioxide_lag1,0.02197623270049297,4,gbm
nitrogen_oxides_lag1,0.04438152306385034,4,gbm
fine_suspended_particulates_lag1,0.020539959814717578,4,gbm
sulphur_dioxide_lag1,0.01375824388378967,4,gbm
ozone_lag3,0.01903013232485798,4,gbm
StringencyIndex_WeightedAverage_lag1,0.26721100704320094,4,gbm
scaled_case_lag1,0.4510834133655386,4,gbm
temperature_lag4,0.1218867939128234,5,gbm
humidity_lag5,0.011923488923098004,5,gbm
wind_speed_lag4,0.006395546648439826,5,gbm
carbon_monoxide_lag1,0.030837678454562388,5,gbm
nitrogen_dioxide_lag1,0.032715524738262974,5,gbm
nitrogen_oxides_lag1,0.028446094155209538,5,gbm
fine_suspended_particulates_lag1,0.015991884888531455,5,gbm
sulphur_dioxide_lag1,0.010654645523921202,5,gbm
ozone_lag2,0.015886541155544814,5,gbm
StringencyIndex_WeightedAverage_lag1,0.24294788733498549,5,gbm
scaled_case_lag1,0.48231391426462084,5,gbm
temperature_lag3,0.10004413052835018,6,gbm
humidity_lag4,0.020741007441843273,6,gbm
wind_speed_lag7,0.0164030895434844,6,gbm
carbon_monoxide_lag1,0.03701801107326762,6,gbm
nitrogen_dioxide_lag1,0.02536115104766538,6,gbm
nitrogen_oxides_lag1,0.048386703137955636,6,gbm
fine_suspended_particulates_lag6,0.032642941313802715,6,gbm
respirable_suspended_particulates_lag7,0.02246952708867981,6,gbm
sulphur_dioxide_lag1,0.008183676100712082,6,gbm
ozone_lag1,0.00922832430579686,6,gbm
GovernmentResponseIndex_WeightedAverage_lag1,0.2649872648165712,6,gbm
scaled_case_lag1,0.414534173601871,6,gbm
temperature_lag2,0.10133633249124654,7,gbm
humidity_lag3,0.012402902575537333,7,gbm
wind_speed_lag6,0.01221310973441588,7,gbm
carbon_monoxide_lag1,0.026985011213693826,7,gbm
nitrogen_dioxide_lag7,0.014633006459271175,7,gbm
nitrogen_oxides_lag1,0.04641495350812232,7,gbm
fine_suspended_particulates_lag5,0.028449664551756147,7,gbm
respirable_suspended_particulates_lag6,0.01801803982990992,7,gbm
sulphur_dioxide_lag1,0.017377355339265863,7,gbm
ozone_lag1,0.008203591244367082,7,gbm
GovernmentResponseIndex_WeightedAverage_lag1,0.23984885174099105,7,gbm
scaled_case_lag1,0.4741171813114229,7,gbm
temperature_lag7,0.10355548189641771,8,gbm
humidity_lag2,0.012032989217102528,8,gbm
wind_speed_lag7,0.01934256201896397,8,gbm
carbon_monoxide_lag1,0.03622626377678606,8,gbm
nitrogen_dioxide_lag6,0.01906927105981203,8,gbm
fine_suspended_particulates_lag4,0.028424304103125714,8,gbm
nitrogen_oxides_lag3,0.021179959253666145,8,gbm
respirable_suspended_particulates_lag5,0.023691954344797206,8,gbm
sulphur_dioxide_lag3,0.02105924312758363,8,gbm
ozone_lag2,0.009205175393618214,8,gbm
GovernmentResponseIndex_WeightedAverage_lag1,0.19347102375504763,8,gbm
scaled_case_lag1,0.5127417720530791,8,gbm
temperature_lag7,0.1677484347960435,9,gbm
wind_speed_lag7,0.010429744485148785,9,gbm
humidity_lag1,0.01423701272612739,9,gbm
carbon_monoxide_lag2,0.02285664830234159,9,gbm
nitrogen_dioxide_lag5,0.02199625082973428,9,gbm
fine_suspended_particulates_lag3,0.035252267613875586,9,gbm
nitrogen_oxides_lag2,0.0332603091813965,9,gbm
respirable_suspended_particulates_lag4,0.024161649015857902,9,gbm
sulphur_dioxide_lag2,0.009612334805514582,9,gbm
ozone_lag1,0.0161445936685059,9,gbm
GovernmentResponseIndex_WeightedAverage_lag1,0.2258001129184594,9,gbm
scaled_case_lag1,0.4185006416569947,9,gbm
temperature_lag6,0.113466609832098,10,gbm
wind_speed_lag6,0.01804418086998708,10,gbm
humidity_lag1,0.007153455447941545,10,gbm
carbon_monoxide_lag7,0.03287841651390008,10,gbm
nitrogen_dioxide_lag4,0.028040897846456487,10,gbm
fine_suspended_particulates_lag2,0.03626962682473227,10,gbm
nitrogen_oxides_lag1,0.03937434130655205,10,gbm
respirable_suspended_particulates_lag3,0.025574114118738243,10,gbm
sulphur_dioxide_lag1,0.012026479416617912,10,gbm
