"mytestdate","var","coef","CI_lwr","CI_upr","modelname","proj"
"19142","temperature_lag4","-0.0852321043428099","-0.167248209650793","-0.00321599903482676","lm","4"
"19142","carbon_monoxide_lag2","0.00713544127762284","-0.0526527745039553","0.066923657059201","lm","4"
"19142","StringencyIndex_WeightedAverage_lag1","0.0159442858271304","-0.0734466517225609","0.105335223376822","lm","4"
"19142","scaled_case_lag1","0.855297499790623","0.741186621104356","0.96940837847689","lm","4"
"19142","ct_sm_7_lag7","-0.251662403101917","-0.463774122406115","-0.0395506837977188","lm","4"
"19142","(Intercept)","0.51007049717738","-0.116198363423594","1.13633935777835","lm","5"
"19142","temperature_lag3","-0.0559366635848393","-0.121928193407477","0.0100548662377988","lm","5"
"19142","carbon_monoxide_lag1","0.0194314290952878","-0.0288162624838067","0.0676791206743822","lm","5"
"19142","GovernmentResponseIndex_WeightedAverage_lag1","0.0177374935072683","-0.0631137854461752","0.0985887724607118","lm","5"
"19142","scaled_case_lag1","0.912154597850867","0.818909463748349","1.00539973195338","lm","5"
"19142","ct_sm_7_lag7","-0.12178793255416","-0.300936842335574","0.0573609772272543","lm","5"
"19142","(Intercept)","0.409867766953852","-0.214723787658528","1.03445932156623","lm","6"
"19142","temperature_lag2","-0.0560418200537656","-0.121834015770252","0.00975037566272075","lm","6"
"19142","carbon_monoxide_lag1","-0.00471590929551093","-0.0528590746930236","0.0434272561020017","lm","6"
"19142","GovernmentResponseIndex_WeightedAverage_lag1","0.00155177953299008","-0.0789975939379196","0.0821011530038998","lm","6"
"19142","scaled_case_lag1","0.927770097246162","0.834647185986815","1.02089300850551","lm","6"
"19142","ct_sm_7_lag6","-0.111352854312628","-0.290979676299703","0.0682739676744466","lm","6"
"19142","(Intercept)","0.209916167536238","-0.406488312036883","0.826320647109359","lm","7"
"19142","temperature_lag7","-0.000967820238804318","-0.068916800387869","0.0669811599102604","lm","7"
"19142","carbon_monoxide_lag1","-0.0114087657281252","-0.0606882495894724","0.0378707181332221","lm","7"
"19142","GovernmentResponseIndex_WeightedAverage_lag1","-0.00510096529463022","-0.0882746932090451","0.0780727626197847","lm","7"
"19142","scaled_case_lag1","0.957277475959955","0.86470793116272","1.04984702075719","lm","7"
"19142","ct_sm_7_lag5","-0.0847631058063698","-0.264403125971908","0.0948769143591689","lm","7"
"19142","(Intercept)","0.334201183076499","-0.280121080647453","0.948523446800452","lm","8"
"19142","temperature_lag7","-0.0356129129285233","-0.103311419850537","0.0320855939934904","lm","8"
"19142","carbon_monoxide_lag1","-0.00471703929791739","-0.0537843702960995","0.0443502917002647","lm","8"
"19142","GovernmentResponseIndex_WeightedAverage_lag1","0.00691116766659655","-0.0764188256503802","0.0902411609835733","lm","8"
"19142","scaled_case_lag1","0.937691979580663","0.845250160904215","1.03013379825711","lm","8"
"19142","ct_sm_7_lag4","-0.0921008036436339","-0.271806114252129","0.0876045069648612","lm","8"
"19142","(Intercept)","0.442971906333212","-0.136663158017129","1.02260697068355","lm","9"
"19142","temperature_lag7","-0.0386064078324601","-0.102697509168664","0.0254846935037433","lm","9"
"19142","carbon_monoxide_lag7","-0.0182755216353755","-0.0643514177133862","0.0278003744426352","lm","9"
"19142","GovernmentResponseIndex_WeightedAverage_lag1","0.0141743264239558","-0.0670067938188945","0.095355446666806","lm","9"
"19142","scaled_case_lag1","0.919980487735243","0.832575520444504","1.00738545502598","lm","9"
