var,coef,proj,modelname
GovernmentResponseIndex_WeightedAverage_lag1,0.107274294,14,gru
scaled_case_lag1,2.0032601,14,gru
temperature_lag7,0.10298035,0,gru
carbon_monoxide_lag1,0.045552,0,gru
StringencyIndex_WeightedAverage_lag1,0.06576865,0,gru
scaled_case_lag1,1.4120055,0,gru
ct_sm_7_lag7,0.622076,0,gru
temperature_lag7,0.109071895,1,gru
carbon_monoxide_lag1,0.03881207,1,gru
StringencyIndex_WeightedAverage_lag1,0.049814235,1,gru
scaled_case_lag1,1.3948867,1,gru
ct_sm_7_lag7,0.6681132,1,gru
temperature_lag7,0.10453964,2,gru
carbon_monoxide_lag1,0.039192196,2,gru
StringencyIndex_WeightedAverage_lag1,0.044135343,2,gru
scaled_case_lag1,1.4128898,2,gru
ct_sm_7_lag7,0.7070469,2,gru
temperature_lag7,0.09054672,3,gru
carbon_monoxide_lag1,0.04842191,3,gru
StringencyIndex_WeightedAverage_lag1,0.21599665,3,gru
scaled_case_lag1,2.4145975,3,gru
temperature_lag6,0.08861598,4,gru
carbon_monoxide_lag1,0.048335876,4,gru
StringencyIndex_WeightedAverage_lag1,0.2121817,4,gru
scaled_case_lag1,2.4194589,4,gru
temperature_lag5,0.08452544,5,gru
carbon_monoxide_lag1,0.039991766,5,gru
StringencyIndex_WeightedAverage_lag1,0.2025781,5,gru
scaled_case_lag1,2.4007523,5,gru
temperature_lag4,0.08219861,6,gru
carbon_monoxide_lag1,0.04749617,6,gru
StringencyIndex_WeightedAverage_lag1,0.20285489,6,gru
scaled_case_lag1,2.3815825,6,gru
temperature_lag3,0.081468806,7,gru
carbon_monoxide_lag1,0.061631534,7,gru
GovernmentResponseIndex_WeightedAverage_lag1,0.1899048,7,gru
scaled_case_lag1,2.3362396,7,gru
temperature_lag2,0.08419927,8,gru
carbon_monoxide_lag1,0.06682938,8,gru
GovernmentResponseIndex_WeightedAverage_lag1,0.17804532,8,gru
scaled_case_lag1,2.2851682,8,gru
temperature_lag7,0.064917386,9,gru
carbon_monoxide_lag2,0.06650617,9,gru
GovernmentResponseIndex_WeightedAverage_lag1,0.17764431,9,gru
scaled_case_lag1,2.2894106,9,gru
temperature_lag7,0.070053436,10,gru
carbon_monoxide_lag1,0.065391086,10,gru
GovernmentResponseIndex_WeightedAverage_lag1,0.15974902,10,gru
scaled_case_lag1,2.265496,10,gru
temperature_lag6,0.062273223,11,gru
carbon_monoxide_lag5,0.048747193,11,gru
GovernmentResponseIndex_WeightedAverage_lag1,0.14621177,11,gru
scaled_case_lag1,2.1825194,11,gru
temperature_lag5,0.064620115,12,gru
carbon_monoxide_lag4,0.049466416,12,gru
GovernmentResponseIndex_WeightedAverage_lag1,0.12825255,12,gru
scaled_case_lag1,2.1181116,12,gru
temperature_lag4,0.06836411,13,gru
carbon_monoxide_lag3,0.04718856,13,gru
GovernmentResponseIndex_WeightedAverage_lag1,0.1178334,13,gru
scaled_case_lag1,2.0650864,13,gru
temperature_lag3,0.07240561,14,gru
carbon_monoxide_lag2,0.042031854,14,gru
GovernmentResponseIndex_WeightedAverage_lag1,0.093068965,14,gru
scaled_case_lag1,1.9988089,14,gru
temperature_lag7,0.09642133,0,gru
carbon_monoxide_lag2,0.038076226,0,gru
StringencyIndex_WeightedAverage_lag1,0.07895256,0,gru
scaled_case_lag1,1.4523221,0,gru
ct_sm_7_lag7,0.59478676,0,gru
temperature_lag7,0.11266366,1,gru
carbon_monoxide_lag1,0.042496882,1,gru
StringencyIndex_WeightedAverage_lag1,0.06954111,1,gru
scaled_case_lag1,1.4222326,1,gru
ct_sm_7_lag7,0.61637276,1,gru
temperature_lag7,0.10766789,2,gru
carbon_monoxide_lag1,0.034101997,2,gru
StringencyIndex_WeightedAverage_lag1,0.046977963,2,gru
scaled_case_lag1,1.4320476,2,gru
ct_sm_7_lag7,0.65194476,2,gru
temperature_lag7,0.08943438,3,gru
carbon_monoxide_lag1,0.046989083,3,gru
StringencyIndex_WeightedAverage_lag1,0.21001787,3,gru
scaled_case_lag1,2.4206414,3,gru
temperature_lag6,0.086621076,4,gru
carbon_monoxide_lag1,0.04725789,4,gru
StringencyIndex_WeightedAverage_lag1,0.2074606,4,gru
scaled_case_lag1,2.4285166,4,gru
temperature_lag5,0.082515836,5,gru
carbon_monoxide_lag1,0.042366486,5,gru
StringencyIndex_WeightedAverage_lag1,0.19916838,5,gru
scaled_case_lag1,2.414174,5,gru
temperature_lag4,0.081448324,6,gru
carbon_monoxide_lag1,0.05211934,6,gru
StringencyIndex_WeightedAverage_lag1,0.19902982,6,gru
scaled_case_lag1,2.3946848,6,gru
temperature_lag3,0.08129082,7,gru
carbon_monoxide_lag1,0.062734984,7,gru
StringencyIndex_WeightedAverage_lag1,0.18378326,7,gru
scaled_case_lag1,2.34489,7,gru
temperature_lag2,0.08488282,8,gru
carbon_monoxide_lag1,0.06789781,8,gru
